id,5CHF,2CHF,1CHF,0.5CHF,0.2CHF,0.1CHF,0.05CHF,2EUR,1EUR,0.5EUR,0.2EUR,0.1EUR,0.05EUR,0.02EUR,0.01EUR,OOD
L1010468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
L1010476,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1
L1010485,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
L1010503,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1
L1010486,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1
L1010491,2,0,0,0,0,0,0,2,0,1,0,0,0,1,0,2
L1010478,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1
L1010462,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
L1010487,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1
L1010475,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
L1010470,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
L1010517,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
L1010510,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
L1010524,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
L1010506,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
L1010521,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
L1010515,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
L1010523,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
